,Domain,Phylum,Class,Order,Family,Genus,Species
OUT1,NB,Small,1,Non-Bitter,Less-bitter,Alphas2,11
OUT2,NB,Medium,1,Non-Bitter,Less-bitter,Alphas2,5
OUT3,NB,Small,0,Non-Bitter,Less-bitter,Alphas2,12
OUT4,B,Small,1,Non-Bitter,Less-bitter,Alphas2,7
OUT5,B,Small,1,Non-Bitter,More-Bitter,Alphas2,11
OUT6,B,Medium,5,Bitter,Less-bitter,Beta,7
OUT7,NB,Small,0,Non-Bitter,Less-bitter,Alphas1,6
OUT8,B,Medium,2,Non-Bitter,Less-bitter,Alphas2,7
OUT9,B,Medium,2,Non-Bitter,Less-bitter,Alphas2,12
OUT10,B,Medium,2,Non-Bitter,Less-bitter,Alphas2,11
OUT11,B,Medium,2,Non-Bitter,Less-bitter,Alphas2,4
OUT12,B,Medium,2,Non-Bitter,More-Bitter,Alphas2,12
OUT13,B,Medium,2,Non-Bitter,Less-bitter,Alphas2,10
OUT14,B,Medium,3,Non-Bitter,Less-bitter,Alphas2,7
OUT15,B,Small,2,Bitter,Less-bitter,Alphas1,14
OUT16,B,Small,2,Bitter,Less-bitter,Alphas1,14
OUT17,B,Small,2,Bitter,Less-bitter,Alphas1,14
OUT18,B,Medium,2,Bitter,Less-bitter,Alphas1,14
OUT19,B,Medium,2,Bitter,Less-bitter,Alphas1,14
OUT20,B,Medium,2,Bitter,More-Bitter,Alphas1,12
OUT21,B,Medium,2,Bitter,Less-bitter,Alphas1,11
OUT22,B,Medium,3,Bitter,More-Bitter,Beta,4
OUT23,B,Medium,4,Bitter,More-Bitter,Beta,5
OUT24,B,Medium,4,Bitter,More-Bitter,Beta,10
OUT25,B,Medium,5,Bitter,More-Bitter,Beta,5
OUT26,B,Medium,5,Bitter,More-Bitter,Beta,9
OUT27,B,Medium,5,Bitter,More-Bitter,Beta,9
OUT28,B,Medium,5,Bitter,More-Bitter,Beta,6
OUT29,B,Medium,5,Bitter,More-Bitter,Beta,5
OUT30,B,Medium,5,Bitter,Less-bitter,Beta,5
OUT31,I,Medium,3,Non-Bitter,Less-bitter,Alphas1,11
OUT32,NB,Medium,3,Non-Bitter,Less-bitter,Alphas1,8
OUT33,NB,Medium,1,Non-Bitter,More-Bitter,Other,4
OUT34,NB,Medium,1,Non-Bitter,Less-bitter,Alphas1,4
OUT35,B,Medium,4,Bitter,More-Bitter,Beta,10
OUT36,I,Medium,5,Bitter,Less-bitter,Beta,7
OUT37,NB,Small,2,Non-Bitter,Less-bitter,Kappa,14
OUT38,I,Small,2,Non-Bitter,Less-bitter,Kappa,14
OUT39,NB,Medium,2,Non-Bitter,Less-bitter,Kappa,12
OUT40,B,Medium,2,Bitter,Less-bitter,Other,4
OUT41,I,Medium,2,Non-Bitter,Less-bitter,Other,4
OUT42,I,Medium,2,Non-Bitter,Less-bitter,Other,4
OUT43,NB,Medium,2,Non-Bitter,Less-bitter,Other,5
OUT44,B,Small,2,Bitter,Less-bitter,Alphas2,13
OUT45,I,Medium,2,Non-Bitter,Less-bitter,Alphas2,6
OUT46,I,Medium,2,Bitter,Less-bitter,Alphas2,14
OUT47,B,Small,2,Non-Bitter,Less-bitter,Beta,14
OUT48,B,Medium,3,Non-Bitter,Less-bitter,Beta,14
OUT49,B,Medium,3,Non-Bitter,Less-bitter,Beta,4
OUT50,B,Medium,3,Non-Bitter,Less-bitter,Beta,9
OUT51,B,Medium,3,Non-Bitter,More-Bitter,Beta,8
OUT52,B,Medium,3,Non-Bitter,Less-bitter,Beta,7
OUT53,B,Medium,3,Non-Bitter,More-Bitter,Beta,4
OUT54,NB,Medium,1,Non-Bitter,Less-bitter,Kappa,8
OUT55,B,Small,1,Non-Bitter,Less-bitter,Alphas1,14
OUT56,I,Small,1,Non-Bitter,Less-bitter,Alphas1,14
OUT57,NB,Medium,1,Bitter,Less-bitter,Beta,11
OUT58,B,Medium,1,Bitter,Less-bitter,Beta,14
OUT59,I,Medium,1,Bitter,Less-bitter,Beta,8
OUT60,NB,Medium,1,Bitter,Less-bitter,Beta,9
OUT61,NB,Small,0,Non-Bitter,Less-bitter,Alphas1,10
OUT62,NB,Medium,0,Non-Bitter,Less-bitter,Alphas1,5
OUT63,NB,Small,0,Non-Bitter,Less-bitter,Alphas1,14
OUT64,I,Small,2,Non-Bitter,Less-bitter,Alphas1,14
OUT65,NB,Medium,2,Non-Bitter,Less-bitter,Alphas1,14
OUT66,NB,Medium,2,Non-Bitter,Less-bitter,Alphas1,14
OUT67,NB,Medium,2,Non-Bitter,Less-bitter,Alphas1,10
OUT68,B,Small,1,Non-Bitter,Less-bitter,Kappa,9
OUT69,B,Medium,1,Non-Bitter,Less-bitter,Kappa,6
OUT70,B,Small,1,Bitter,Less-bitter,Beta,14
OUT71,B,Small,1,Bitter,Less-bitter,Beta,8
OUT72,B,Small,1,Bitter,Less-bitter,Beta,9
OUT73,I,Medium,1,Bitter,Less-bitter,Beta,4
OUT74,NB,Medium,1,Bitter,Less-bitter,Beta,4
OUT75,NB,Medium,1,Bitter,Less-bitter,Beta,5
OUT76,NB,Medium,1,Bitter,More-Bitter,Beta,6
OUT77,B,Medium,5,Bitter,Less-bitter,Beta,4
